Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),180,4.4,36.17,75230,2.4,23.74,28.5,32.21,39,54.65,49380,59280,67000,81130,113670,0.09,0.43
Alaska(0200000),50,2.3,49.69,103360,1.2,33.15,40.67,48.62,58.24,66.2,68950,84590,101120,121140,137700,0.163,0.78
Arizona(0400000),880,11,40.89,85060,4.5,22.76,37.52,41.4,41.4,53.1,47350,78040,86110,86110,110450,0.29,1.39
California(0600000),3030,3.9,65.49,136210,1.4,37.4,47.37,63.44,78.89,96.05,77780,98530,131960,164090,199780,0.172,0.82
Colorado(0800000),1290,11.6,44.35,92240,3.7,28.45,31.53,40.74,53.5,64.3,59170,65580,84740,111290,133750,0.468,2.25
Connecticut(0900000),500,10.7,61.84,128630,6.4,36.82,40.14,52.6,68.77,           -,76580,83490,109410,143030,           -,0.307,1.47
Delaware(1000000),80,4.4,53.68,111650,0.8,30.52,41.26,47.57,69.41,82.91,63480,85810,98950,144370,172450,0.185,0.89
District of Columbia(1100000),1020,10.1,54.86,114100,1.6,31.79,43.18,55.28,66.75,76.76,66120,89810,114980,138840,159670,1.481,7.11
Florida(1200000),580,17.7,40.3,83820,5.2,19.58,25.5,35,48.81,71.17,40720,53040,72800,101530,148040,0.062,0.3
Georgia(1300000),420,19.3,51.89,107920,2.1,32.44,40.5,52.05,62.6,71.67,67480,84250,108260,130200,149070,0.092,0.44
Hawaii(1500000),110,8.5,35.74,74350,13.4,16.45,29.16,34.08,42.36,54.01,34210,60650,70890,88100,112330,0.179,0.86
Idaho(1600000),50,16,48.45,100770,4.5,25.52,34.01,51.28,53.01,70.45,53080,70730,106660,110260,146530,0.066,0.32
Illinois(1700000),380,9.5,50.75,105560,4.5,31.74,39.36,47.92,60.28,69.53,66030,81860,99670,125380,144620,0.065,0.31
Indiana(1800000),270,15.7,45.76,95190,3.6,26.6,33.86,44.92,54.4,64.33,55330,70430,93430,113150,133810,0.087,0.42
Iowa(1900000),260,15.8,41.17,85640,7.5,19.96,30.55,40.5,52.66,59.39,41510,63540,84240,109540,123530,0.172,0.83
Kansas(2000000),90,21.5,47.86,99560,2.9,31.68,36.73,45.51,61.53,66.73,65890,76390,94650,127980,138800,0.068,0.32
Kentucky(2100000),130,18.3,35.56,73960,5.4,18.27,25.3,35.14,42.3,53.79,38000,52620,73090,87990,111870,0.069,0.33
Louisiana(2200000),90,9.3,34.2,71140,1.9,21.87,26.39,29.81,41.67,51.49,45490,54890,62000,86670,107110,0.051,0.24
Maine(2300000),80,13.5,39.07,81260,2.8,26.27,31.58,38.48,40.1,62,54640,65680,80030,83410,128950,0.137,0.66
Maryland(2400000),3240,3,58.82,122340,0.7,40.64,47.59,56.49,66.76,76.87,84540,99000,117500,138860,159890,1.226,5.89
Massachusetts(2500000),2760,12.7,52.92,110080,5.5,38.19,38.46,50.76,61.72,74.9,79440,80000,105570,128380,155800,0.774,3.72
Michigan(2600000),660,12.9,50.36,104740,2.6,31.21,39.05,49.97,62.05,65.96,64930,81210,103930,129060,137190,0.156,0.75
Minnesota(2700000),930,25.3,43.88,91270,8,26.59,31.35,40.18,53.5,66.67,55300,65210,83570,111270,138660,0.328,1.57
Missouri(2900000),560,10.2,37.98,78990,2.2,21.59,24.34,38.14,48.59,55.65,44920,50630,79330,101060,115740,0.2,0.96
Nebraska(3100000),140,8.9,38.86,80830,1.8,24.05,27.18,39.42,48.25,54.11,50030,56530,81990,100360,112550,0.148,0.71
Nevada(3200000),40,7.7,35,72800,2.1,20.76,24.56,31.75,42.95,54.38,43180,51080,66040,89330,113120,0.028,0.13
New Hampshire(3300000),60,23.1,46.19,96060,11.8,28.87,38.2,44.27,49.26,74.66,60050,79450,92090,102460,155290,0.088,0.42
New Jersey(3400000),710,10.1,53.21,110680,4.5,30.77,34.76,50.89,65.69,80.31,63990,72290,105860,136640,167040,0.172,0.83
New Mexico(3500000),200,25.1,30.14,62700,4.8,18.3,19.69,30.16,34.67,44.26,38070,40960,62730,72110,92070,0.249,1.19
New York(3600000),1220,16.5,66.27,137840,12.6,31.03,40.3,53.52,84.35,103.38,64550,83820,111330,175450,215020,0.134,0.64
North Carolina(3700000),1550,6.7,57.28,119140,2.1,32.99,41.03,52.51,66.96,86.41,68620,85340,109210,139270,179740,0.335,1.61
North Dakota(3800000),50,3.1,35.21,73230,1.1,25.51,28.73,31.33,38.6,44.89,53060,59760,65170,80290,93360,0.127,0.61
Ohio(3900000),430,11.1,40.77,84800,2.6,24.5,29.19,38.48,50.27,58.61,50960,60720,80040,104570,121910,0.08,0.38
Oklahoma(4000000),130,2.8,28.79,59870,1.2,19.47,23.86,24.63,31.1,43.03,40490,49620,51230,64680,89500,0.081,0.39
Oregon(4100000),560,3.4,40.96,85190,1.5,27.39,32.77,40,48.42,52.42,56970,68160,83200,100710,109030,0.294,1.41
Pennsylvania(4200000),1920,7,43.05,89540,2.1,24.53,29.92,38.61,51.89,64.62,51010,62240,80300,107920,134400,0.33,1.59
Puerto Rico(7200000),250,3.7,20.2,42020,1.5,12.09,14.12,18.97,24.56,30.75,25140,29360,39450,51080,63960,0.283,1.36
South Carolina(4500000),270,5.7,35.29,73390,2.6,21.29,25.05,33.26,42.73,51.82,44290,52100,69170,88880,107790,0.127,0.61
Tennessee(4700000),1080,7,41.63,86590,3.2,25.13,29.31,37.97,51.48,69.01,52260,60970,78980,107090,143550,0.346,1.66
Texas(4800000),990,8.8,42.61,88630,1.8,26.89,33.27,39.47,50.11,63.79,55930,69200,82090,104230,132680,0.076,0.37
Utah(4900000),330,6.1,39.43,82010,0.9,24.09,31.43,39.27,48.4,54.45,50110,65380,81670,100670,113250,0.205,0.99
Vermont(5000000),120,24.9,39.07,81270,22.4,27.2,30.54,35.8,41.86,52.76,56580,63520,74460,87070,109740,0.425,2.04
Virginia(5100000),980,11.3,47.56,98930,4.5,25.59,35.84,44.63,58.64,74.49,53230,74550,92830,121970,154940,0.252,1.21
Washington(5300000),1410,14.5,52.68,109570,3.2,34.24,40.41,50.44,62.7,74.52,71220,84040,104920,130410,154990,0.415,1.99
West Virginia(5400000),110,12.6,31.38,65270,3.2,17.18,18.56,25.51,43.24,55.95,35740,38600,53060,89940,116380,0.157,0.76
Wisconsin(5500000),290,13.8,42.54,88480,9.8,20.77,30.88,35.61,49.5,77.97,43190,64220,74080,102960,162170,0.104,0.5
Wyoming(5600000),30,21.5,63.31,131680,22.5,28.62,33.17,42.43,54.6,           -,59530,68990,88250,113570,           -,0.119,0.57
